Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
BIH,2007,6.35,2.74,2.14,15.16,16.68,,,7.31,18.2,150,39
BLM,2007,3.96,,,,,,,,,19,29
BLR,2007,7.40,3.81,3.42,16.07,17.91,,,6.37,7.7,150,151
BLZ,2007,3.69,0.26,-0.86,12.61,13.04,,,6.47,,19,13
BMU,2007,3.06,1.77,-0.46,11.08,13.16,,,,,19,21
BOL,2007,7.26,2.57,1.59,16.06,16.34,,,12.14,60.1,19,5
BRA,2007,10.85,7.22,6.00,19.08,19.71,,,14.35,16.1,19,5
BRB,2007,5.36,1.51,-0.06,12.53,14.17,,,,,19,29
BRN,2007,6.18,2.51,1.11,12.83,16.02,,,5.79,,142,35
BTN,2007,,0.18,-0.08,13.43,12.88,,,6.35,23.2,142,34
BVT,2007,,,,,,,,,,0,0
BWA,2007,5.69,2.39,1.04,14.47,15.36,,,9.63,,2,18
CAF,2007,2.56,0.53,-1.91,15.25,12.37,,,12.83,,2,17
CAN,2007,10.78,7.28,6.33,17.31,20.14,,,11.95,,19,21
CCK,2007,,,,,,,,,,0,0
CHE,2007,8.39,6.17,4.06,15.84,17.45,,,7.81,,150,155
CHL,2007,8.40,5.15,3.97,16.62,18.09,,,7.93,,19,5
CHN,2007,11.71,8.16,7.96,21.00,22.64,,,12.31,,142,30
CIV,2007,6.19,3.01,1.21,16.75,15.74,,,,,2,11
CMR,2007,5.65,3.02,1.53,16.76,15.58,,,11.15,39.9,2,17
COD,2007,6.30,2.80,1.80,17.91,14.86,,,13.22,,2,17
COG,2007,6.38,2.13,-0.74,15.13,14.01,,,9.74,,2,17
COK,2007,,,-3.54,,,,,,,9,61
COL,2007,8.76,5.34,3.74,17.61,17.95,,,10.33,,19,5
COM,2007,,-0.77,-3.20,13.38,11.67,,,3.15,,2,14
CPV,2007,3.64,0.41,-1.45,13.08,12.82,,,,26.6,2,11
CRI,2007,6.84,3.27,2.10,15.29,15.91,,,5.44,,19,13
CUB,2007,6.70,4.07,2.61,16.24,17.10,,,7.37,,19,29
CXR,2007,,,,,,,,,,0,0
CYM,2007,4.15,,-0.68,10.85,13.28,,,,,19,29
CYP,2007,6.97,3.08,1.47,13.88,15.92,,,5.48,,142,145
CZE,2007,8.12,5.24,4.12,16.15,18.63,,,7.22,9,150,151
DEU,2007,10.20,8.14,6.31,18.23,20.48,,,10.14,,150,155
DJI,2007,3.15,-0.16,-1.37,13.59,13.04,,,2.56,,2,14
DMA,2007,,-0.85,-2.57,11.17,11.92,,,,,19,29
DNK,2007,7.65,5.77,3.55,15.51,17.73,,,7.36,,150,154
DOM,2007,6.99,3.79,2.48,16.07,16.87,,,4.49,43.6,19,29
DZA,2007,9.00,4.91,3.34,17.35,18.51,,,8.05,,2,15
ECU,2007,8.03,3.93,2.63,16.47,17.26,,,7.23,36.7,19,5
EGY,2007,10.36,4.87,4.65,18.17,19.08,,,8.18,,2,15
ERI,2007,3.69,0.28,-1.48,15.30,13.27,,,5.58,,2,14
ESH,2007,4.58,,-2.48,,,,,,,2,15
ESP,2007,10.56,7.30,5.54,17.63,19.70,,,9.33,,150,39
EST,2007,6.61,3.10,2.04,14.11,16.75,,,3.88,19.5,150,154
ETH,2007,5.82,2.98,1.15,18.21,15.59,,,11.38,,2,14
FIN,2007,9.03,5.54,4.47,15.48,17.97,,,6.94,,150,154
FJI,2007,1.56,1.23,-0.30,13.63,14.00,,,3.69,,9,54
FLK,2007,,,-4.19,,,,,,,19,5
FRA,2007,10.56,7.89,6.11,17.97,19.74,,,9.79,,150,155
FRO,2007,2.78,0.82,-1.42,10.79,13.44,,,,,150,154
FSM,2007,,-1.36,,11.56,11.87,,,,,9,57
GAB,2007,6.30,2.45,0.32,14.18,14.50,,,8.31,,2,17
GBR,2007,10.47,7.99,5.84,17.93,20.09,,,9.41,,150,154
GEO,2007,5.95,2.32,1.93,15.29,15.68,,,4.82,20.1,142,145
GGY,2007,3.53,,,,,,,,,150,154
GHA,2007,6.74,3.21,1.67,16.93,16.10,,,11.14,,2,11
GIB,2007,1.89,,-1.96,,,,,,,150,39
GIN,2007,4.20,1.42,-0.13,16.13,14.01,,,10.85,53,2,11
GLP,2007,5.70,,0.42,,,,,,,19,29
GMB,2007,4.00,-0.22,-1.61,14.24,12.89,,,7.63,,2,11
GNB,2007,,-0.36,-2.89,14.24,12.35,,,8.39,,2,11
GNQ,2007,3.31,2.32,-2.44,13.41,15.38,,,,,2,17
GRC,2007,8.54,5.76,4.07,16.23,18.40,,,8.92,,150,39
GRD,2007,3.34,-0.28,-1.76,11.55,12.38,,,0.93,,19,29
GRL,2007,3.03,0.75,-1.20,10.94,13.37,,,,,19,21
GTM,2007,6.77,3.53,2.04,16.44,16.35,,,9.27,,19,13
GUF,2007,4.55,,-0.38,,,,,,,19,5
GUM,2007,5.50,,0.50,11.97,,,,,,9,57
GUY,2007,4.01,0.55,-0.84,13.52,14.26,,,4.58,,19,5
HKG,2007,6.71,5.35,3.65,15.75,17.50,,,4.88,,142,30
HMD,2007,,,,,,,,,,0,0
HND,2007,6.65,2.51,1.55,15.78,15.99,,,7.61,58.2,19,13
HRV,2007,7.61,4.10,2.74,15.31,17.01,,,5.13,,150,39
HTI,2007,4.10,1.77,-1.51,16.07,14.69,,,3.95,,19,29
HUN,2007,7.83,4.93,3.63,16.12,17.84,,,7.39,12.4,150,151
IDN,2007,8.97,6.07,4.79,19.26,19.74,,,11.02,16.6,142,35
IMN,2007,3.66,1.41,,11.31,,,,,,150,154
IND,2007,10.57,7.12,6.39,20.89,21.20,,,11.41,,142,34
IOT,2007,,,,,,,,,,0,0
IRL,2007,7.76,5.60,3.23,15.30,17.62,,,7.15,,150,154
IRN,2007,10.47,5.66,5.03,18.09,20.07,,,8.24,,142,34
IRQ,2007,8.89,4.49,3.00,17.16,17.95,,,6.04,,142,145
ISL,2007,6.34,3.07,2.43,12.65,14.65,,,5.34,,150,154
ISR,2007,8.66,5.17,3.85,15.79,17.96,,,7.75,,142,145
ITA,2007,10.86,7.70,5.75,17.88,19.95,,,9.58,,150,39
JAM,2007,6.26,2.55,1.60,14.79,16.42,,,4.83,9.9,19,29
JEY,2007,3.90,,,,,,,,,150,154
JOR,2007,7.67,2.84,2.34,15.55,16.91,,,4.96,,142,145
JPN,2007,10.89,8.38,6.93,18.67,20.95,,,11.04,,142,30
KAZ,2007,8.79,4.65,4.18,16.56,19.21,,,9.96,12.7,142,143
KEN,2007,6.00,3.46,1.69,17.43,16.10,,,8.27,,2,14
KGZ,2007,6.06,1.34,2.03,15.48,15.59,,,5.55,35,142,143
KHM,2007,5.09,2.16,0.26,16.43,15.06,,,11.77,,142,35
KIR,2007,,-2.10,-3.89,11.48,10.85,,,,,9,57
KNA,2007,3.26,-0.38,-2.12,10.83,12.43,,,1.41,,19,29
KOR,2007,9.85,7.02,5.96,17.70,20.02,,,9.29,,142,30
KWT,2007,8.10,4.74,3.69,14.75,18.14,,,7.04,,142,145
LAO,2007,5.14,1.44,0.47,15.60,13.75,,,10.98,27.6,142,35
LBN,2007,7.52,3.20,2.38,15.22,16.42,,,3.52,,142,145
LBR,2007,0.68,-0.30,-1.48,15.07,13.43,,,5.25,63.8,2,11
LBY,2007,8.90,4.27,3.05,15.61,17.79,,,5.75,,2,15
LCA,2007,4.15,0.13,-1.20,12.04,12.86,,,,,19,29
LIE,2007,3.99,1.53,,10.48,11.15,,,,,150,155
LKA,2007,6.73,3.48,2.07,16.81,16.33,,,4.94,,142,34
LSO,2007,4.35,0.47,-0.57,14.49,14.20,,,7.86,,2,18
LTU,2007,6.78,3.67,2.26,14.99,16.51,,,6.72,20,150,154
LUX,2007,6.09,3.90,1.88,13.08,16.22,,,4.81,,150,155
LVA,2007,6.24,3.36,1.92,14.60,15.93,,,7.01,25.9,150,154
MAC,2007,1.90,2.89,1.08,13.11,14.25,,,,,142,30
MAF,2007,3.86,,,10.27,,,,,,19,29
MAR,2007,8.13,4.32,3.06,17.25,17.73,,,2.95,8.9,2,15
MCO,2007,2.54,1.79,,10.46,,,,,,150,155
MDA,2007,5.23,1.48,,15.09,15.36,,,3.68,25.8,150,151
MDG,2007,4.44,1.99,0.10,16.78,14.41,,,11.58,,2,14
MDV,2007,,0.43,-1.54,12.76,13.73,,,,,142,34
MEX,2007,10.34,6.95,5.31,18.54,19.94,,,10.51,,19,13
MHL,2007,,-1.90,,10.86,11.50,,,,,9,57
MKD,2007,6.00,2.10,1.97,14.53,16.07,,,6.52,,150,39
MLI,2007,5.45,1.97,-0.81,16.44,13.82,,,10.76,,2,11
MLT,2007,5.66,2.02,0.61,12.92,14.82,,,4.95,,150,39
MMR,2007,6.02,,1.44,17.74,16.35,,,12.36,,142,35
MNE,2007,5.27,1.30,1.24,13.33,14.63,,,,8,150,39
MNG,2007,5.42,1.44,1.21,14.77,16.13,,,10.40,,142,30
MNP,2007,3.89,,,11.00,,,,,,9,57
MOZ,2007,6.11,2.22,2.31,16.92,14.69,,,12.62,,2,14
MRT,2007,4.84,1.04,-0.57,15.02,14.43,,,7.84,,2,11
MSR,2007,,,-3.94,,,,,,,19,29
MTQ,2007,6.05,,0.32,,,,,,,19,29
MUS,2007,5.41,2.05,0.75,14.03,15.12,,,2.99,,2,14
MWI,2007,5.65,1.29,0.39,16.42,13.77,,,9.19,,2,14
MYS,2007,9.09,5.27,4.41,17.10,19.05,,,9.45,3.6,142,35
MYT,2007,1.76,,,,,,,,,2,14
NAM,2007,5.63,2.17,1.20,14.55,14.69,,,10.14,,2,18
NCL,2007,4.40,,0.53,12.38,14.90,,,,,9,54
NER,2007,4.70,1.46,-0.44,16.49,13.62,,,7.39,,2,11
NFK,2007,,,,,,,,,,9,53
NGA,2007,8.87,5.11,2.96,18.81,18.37,,,11.58,,2,11
NIC,2007,5.90,2.01,0.83,15.52,15.34,,,7.03,,19,13
NIU,2007,,,-5.88,,,,,,,9,61
NLD,2007,9.20,6.73,4.72,16.61,18.96,,,8.34,,150,155
NOR,2007,8.78,5.98,4.74,15.37,17.62,,,8.55,,150,154
NPL,2007,4.85,2.33,0.83,17.08,14.82,,,5.70,,142,34
NRU,2007,,,-3.51,,,,,,,9,57
NZL,2007,7.55,4.91,3.68,15.26,17.33,,,7.31,,9,53
OMN,2007,8.37,3.74,2.34,14.77,17.61,,,5.51,,142,145
PAK,2007,9.27,5.03,4.28,18.89,18.88,,,6.95,,142,34
PAN,2007,6.53,3.05,1.64,15.05,15.79,,,6.05,36.5,19,13
PCN,2007,,,,,,,,,,9,61
PER,2007,7.98,4.63,3.28,17.16,17.58,,,9.47,42.4,19,5
PHL,2007,7.73,5.01,3.90,18.30,18.06,,,7.88,,142,35
PLW,2007,1.37,-1.55,,9.91,12.25,,,,,9,57
PNG,2007,5.39,1.85,1.13,15.67,15.63,,,7.73,,9,54
POL,2007,9.33,6.06,4.86,17.46,19.57,,,8.03,16.9,150,151
PRI,2007,8.31,4.49,3.03,15.15,,,,2.83,,19,29
PRK,2007,3.84,,2.86,17.00,18.07,,,8.11,,142,30
PRT,2007,9.31,5.48,3.89,16.17,17.92,,,7.30,,150,39
PRY,2007,7.09,2.62,1.68,15.60,15.24,,,11.63,41.2,19,5
PSE,2007,7.44,1.71,1.27,15.07,14.66,,,,31.2,142,145
PYF,2007,4.21,,-0.49,12.47,13.65,,,,,9,61
QAT,2007,7.66,4.38,2.83,13.98,17.99,,,,,142,145
REU,2007,6.08,,0.86,,,,,,,2,14
ROU,2007,7.96,5.14,3.91,16.85,18.44,,,7.04,23.4,150,151
RUS,2007,11.31,7.17,6.73,18.78,21.23,,,12.31,13.3,150,151
RWA,2007,3.79,1.33,-1.47,16.06,13.23,,,6.06,,2,14
SAU,2007,10.22,6.03,5.10,17.08,19.79,,,7.82,,142,145
SDN,2007,7.21,3.83,1.42,17.33,16.16,,,12.84,,2,15
SEN,2007,5.79,2.42,0.67,16.29,15.49,,,10.26,,2,11
SGP,2007,6.32,5.19,3.62,15.34,16.72,,,8.03,,142,35
SGS,2007,,,,,,,,,,0,0
SHN,2007,,,-4.90,,,,,,,2,11
SJM,2007,,,,,,,,,,150,154
SLB,2007,,-0.66,-2.60,13.11,12.16,,,,,9,54
SLE,2007,2.79,0.77,-2.94,15.50,13.37,,,9.86,,2,11
SLV,2007,6.36,3.00,1.67,15.61,15.76,,,5.88,34.6,19,13
SMR,2007,3.91,0.52,,10.30,,,,,,150,39
SOM,2007,2.75,,-1.30,16.00,13.32,,,4.88,,2,14
SPM,2007,1.73,,-3.32,,,,,,,19,21
SRB,2007,7.72,3.70,3.36,15.81,17.77,,,,,150,39
STP,2007,,-1.94,-3.22,11.98,11.34,,,,,2,17
SUR,2007,4.97,1.08,0.35,13.12,14.71,,,4.65,,19,5
SVK,2007,7.06,4.45,3.27,15.50,17.42,,,6.19,10.9,150,151
SVN,2007,6.48,3.87,2.62,14.52,16.60,,,6.29,12.3,150,39
SWE,2007,9.08,6.19,4.91,16.03,17.69,,,7.77,,150,154
SWZ,2007,4.85,1.12,0.23,13.94,13.88,,,6.83,,2,18
SYC,2007,2.56,0.02,-1.44,11.35,13.37,,,,,2,14
SYR,2007,8.44,3.70,3.35,16.78,18.01,,,4.34,35.2,142,145
TCA,2007,2.80,,-1.84,10.26,12.01,,,,,19,29
TCD,2007,4.62,2.16,-2.18,16.19,13.04,,,11.50,,2,17
TGO,2007,4.69,0.93,-0.51,15.59,14.16,,,9.16,,2,11
THA,2007,9.26,5.51,4.84,18.01,19.40,,,10.83,20,142,35
TJK,2007,5.88,1.31,2.67,15.78,15.01,,,6.14,,142,143
TKL,2007,,,,,,,,,,9,61
TKM,2007,7.59,2.54,2.36,15.40,17.84,,,5.96,,142,143
TLS,2007,2.38,-0.58,,13.83,12.12,,,,49.9,142,35
TON,2007,,-1.20,-3.11,11.53,11.64,,,,,9,61
TTO,2007,7.23,3.08,1.94,14.08,17.69,,,5.70,,19,29
TUN,2007,7.84,3.66,2.40,16.14,17.00,,,1.34,,2,15
TUR,2007,9.33,6.47,5.03,18.06,19.47,,,8.79,8.4,142,145
TUV,2007,,-3.61,,9.19,,,,,,9,61
TWN,2007,9.10,,5.37,,,,,,,0,0
TZA,2007,5.73,2.82,1.18,17.54,15.60,,,11.98,,2,14
UGA,2007,4.95,2.51,0.61,17.22,14.96,,,10.86,,2,14
UKR,2007,8.55,4.96,5.03,17.66,19.59,,,8.20,12.7,150,151
UMI,2007,,,,,,,,,,0,0
URY,2007,7.04,3.15,2.07,15.02,15.61,,,5.75,29.6,19,5
USA,2007,12.90,9.58,8.27,19.52,22.48,,,12.79,,19,21
UZB,2007,8.38,3.11,3.74,17.11,18.59,,,6.70,,142,143
VAT,2007,-0.99,,,,,,,,,150,39
VCT,2007,2.59,-0.38,,11.60,12.33,,,0.85,,19,29
VEN,2007,9.32,5.44,4.38,17.14,18.91,,,10.74,33.6,19,5
VGB,2007,2.95,,-3.17,,,,,,,19,29
VIR,2007,5.18,,-0.21,11.58,,,,,,19,29
VNM,2007,8.22,4.35,4.07,18.25,18.55,,,9.74,,142,35
VUT,2007,1.56,-0.64,-3.17,12.30,11.47,,,,,9,54
WLF,2007,,,,,,,,,,9,61
WSM,2007,,-0.60,-2.25,12.11,12.14,,,,,9,61
YEM,2007,7.53,3.24,1.42,16.89,16.87,,,1.10,,142,145
ZAF,2007,9.52,5.66,5.40,17.70,19.90,,,10.63,,2,18
ZMB,2007,6.43,2.64,2.11,16.36,14.46,,,12.60,,2,14
ZWE,2007,6.45,1.67,2.20,16.40,16.09,,,10.54,,2,14
ABW,2006,4.76,0.88,-0.23,11.52,14.73,,,,,19,29
AFG,2006,5.98,1.95,0.19,17.04,14.32,,,3.69,,142,34
AGO,2006,6.43,3.73,1.05,16.74,16.92,,,6.26,,2,17
AIA,2006,1.73,,,,,,,,,19,29
ALA,2006,3.11,,,,,,,,,150,154
ALB,2006,5.42,2.21,1.10,14.91,15.17,,,4.35,,150,39
AND,2006,4.67,1.04,,11.33,13.21,,,,,150,39
ANT,2006,5.02,,-0.02,,,,,,,19,29
ARE,2006,8.97,5.40,4.06,15.46,18.63,,,7.06,,142,145
ARG,2006,9.68,5.58,4.58,17.49,18.98,,,10.89,,19,5
ARM,2006,5.47,1.85,1.49,14.91,15.29,,,6.27,,142,145
ASM,2006,0.66,,-1.78,10.98,,,,,,9,61
ATA,2006,,,-6.29,,,,,,,0,0
ATF,2006,,,,,,,,,,0,0
ATG,2006,3.96,0.13,-1.49,11.33,12.96,,,1.94,,19,29
AUS,2006,9.36,6.62,5.32,16.85,19.70,,,13.17,,9,53
AUT,2006,7.84,5.81,4.14,15.93,18.10,,,7.83,,150,155
AZE,2006,6.79,3.04,2.97,15.95,17.48,,,7.08,,142,145
BDI,2006,3.43,0.24,-1.82,15.92,12.14,,,6.50,66.9,2,14
BEL,2006,9.14,6.02,4.45,16.17,18.49,,,7.70,,150,155
BEN,2006,4.55,1.55,-0.49,15.95,15.17,,,10.14,37.2,2,11
BFA,2006,5.35,1.77,-0.47,16.44,14.12,,,9.99,,2,11
BGD,2006,6.57,4.27,3.31,18.79,17.69,,,7.57,,142,34
BGR,2006,6.91,3.52,3.40,15.86,17.71,,,6.55,22,150,151
BHR,2006,5.98,2.92,2.17,13.75,16.75,,,5.78,,142,145
BHS,2006,4.87,2.08,0.58,12.72,14.24,,,3.93,,19,29
BIH,2006,6.11,2.53,2.14,15.16,16.68,,,6.55,,150,39
BLM,2006,3.88,,,,,,,,,19,29
BLR,2006,7.38,3.61,3.42,16.08,17.94,,,6.42,11.1,150,151
BLZ,2006,3.11,0.20,-0.92,12.58,12.98,,,4.72,,19,13
BMU,2006,2.92,1.69,-0.48,11.07,13.16,,,,,19,21
BOL,2006,7.19,2.44,1.51,16.04,16.51,,,11.74,59.9,19,5
BRA,2006,10.77,6.99,5.95,19.07,19.67,,,13.39,17.3,19,5
BRB,2006,5.22,1.46,-0.09,12.52,14.13,,,,,19,29
BRN,2006,6.01,2.44,1.07,12.82,15.27,,,5.68,,142,35
BTN,2006,,-0.11,-0.33,13.41,12.88,,,3.55,,142,34
BVT,2006,,,,,,,,,,0,0
BWA,2006,5.66,2.32,0.99,14.46,15.35,,,10.42,,2,18
CAF,2006,2.56,0.39,-1.87,15.23,12.33,,,12.89,,2,17
CAN,2006,10.43,7.18,6.28,17.30,20.13,,,12.19,,19,21
CCK,2006,,,,,,,,,,0,0
CHE,2006,8.19,6.06,4.06,15.83,17.55,,,7.74,,150,155
CHL,2006,8.29,5.04,3.93,16.61,17.99,,,5.59,29.1,19,5
CHN,2006,11.53,7.91,7.83,20.99,22.58,,,12.39,,142,30
CIV,2006,6.08,2.88,1.15,16.73,15.76,,,,,2,11
CMR,2006,5.49,2.89,1.48,16.74,15.17,,,11.42,,2,17
COD,2006,6.27,2.66,1.74,17.87,14.79,,,13.52,,2,17
COG,2006,6.27,2.05,-0.77,15.10,13.93,,,10.10,,2,17
COK,2006,,,-3.57,,,,,,,9,61
COL,2006,8.61,5.09,3.70,17.60,17.96,,,9.16,,19,5
COM,2006,,-0.90,-3.11,13.36,11.70,,,1.84,,2,14
CPV,2006,3.56,0.10,-1.52,13.08,12.64,,,,,2,11
CRI,2006,6.60,3.11,2.06,15.28,15.78,,,5.37,,19,13
CUB,2006,6.46,3.97,2.55,16.24,17.13,,,8.10,,19,29
CXR,2006,,,,,,,,,,0,0
CYM,2006,3.87,,-0.79,10.82,13.09,,,,,19,29
CYP,2006,6.86,2.91,1.42,13.86,15.87,,,5.38,,142,145
CZE,2006,8.25,5.04,4.11,16.14,18.62,,,7.12,9.6,150,151
DEU,2006,10.06,8.01,6.31,18.23,20.51,,,10.08,,150,155
DJI,2006,2.73,-0.26,-1.41,13.58,12.94,,,1.79,,2,14
DMA,2006,,-0.92,-2.59,11.17,11.61,,,,,19,29
DNK,2006,7.50,5.65,3.55,15.51,17.82,,,7.28,,150,154
DOM,2006,6.97,3.58,2.44,16.05,16.80,,,4.51,44.2,19,29
DZA,2006,8.85,4.76,3.29,17.33,18.43,,,7.15,,2,15
ECU,2006,7.99,3.85,2.50,16.45,17.18,,,6.14,37.6,19,5
EGY,2006,10.23,4.68,4.57,18.15,19.00,,,8.13,,2,15
ERI,2006,3.58,0.19,-1.53,15.28,13.24,,,3.78,,2,14
ESH,2006,4.50,,-2.48,,,,,,,2,15
ESP,2006,10.40,7.14,5.53,17.61,19.67,,,9.62,,150,39
EST,2006,6.53,2.83,1.99,14.11,16.60,,,4.52,19.4,150,154
ETH,2006,5.63,2.73,1.07,18.18,15.51,,,11.20,,2,14
FIN,2006,8.97,5.38,4.47,15.48,18.01,,,6.85,,150,154
FJI,2006,1.50,1.13,-0.35,13.63,14.12,,,2.94,,9,54
FLK,2006,,,-4.19,,,,,,,19,5
FRA,2006,10.40,7.75,6.10,17.97,19.76,,,9.71,,150,155
FRO,2006,1.67,0.68,-1.46,10.79,13.43,,,,,150,154
FSM,2006,,-1.37,,11.57,11.73,,,,,9,57
GAB,2006,6.30,2.26,0.26,14.16,14.55,,,8.39,,2,17
GBR,2006,10.35,7.86,5.85,17.92,20.11,,,9.32,,150,154
GEO,2006,5.50,2.05,1.90,15.30,15.63,,,4.74,,142,145
GGY,2006,3.15,,,,,,,,,150,154
GHA,2006,6.70,3.02,1.85,16.90,16.05,,,11.27,,2,11
GIB,2006,1.77,,-1.99,,,,,,,150,39
GIN,2006,3.83,1.04,-0.24,16.11,13.98,,,11.09,,2,11
GLP,2006,5.50,,0.38,,,,,,,19,29
GMB,2006,3.18,-0.42,-1.67,14.21,12.73,,,7.79,,2,11
GNB,2006,,-0.52,-2.85,14.22,12.28,,,9.01,,2,11
GNQ,2006,2.75,2.09,-2.48,13.38,15.37,,,,76.8,2,17
GRC,2006,8.41,5.61,4.02,16.22,18.39,,,7.07,,150,39
GRD,2006,3.19,-0.36,-1.89,11.54,12.35,,,0.91,,19,29
GRL,2006,1.81,0.55,-1.26,10.95,13.35,,,,,19,21
GTM,2006,6.52,3.41,1.98,16.42,16.34,,,8.43,51,19,13
GUF,2006,4.46,,-0.42,,,,,,,19,5
GUM,2006,5.40,,0.51,11.97,,,,,,9,57
GUY,2006,3.82,0.38,-0.93,13.52,14.07,,,3.00,,19,5
HKG,2006,6.70,5.27,3.64,15.74,17.47,,,4.83,,142,30
HMD,2006,,,,,,,,,,0,0
HND,2006,6.45,2.38,1.44,15.76,15.76,,,7.73,59.9,19,13
HRV,2006,7.43,3.92,2.71,15.31,16.96,,,4.67,,150,39
HTI,2006,3.48,1.59,-1.11,16.06,14.56,,,4.68,,19,29
HUN,2006,7.82,4.74,3.61,16.13,17.87,,,7.43,12.3,150,151
IDN,2006,8.99,5.90,4.72,19.25,19.66,,,14.04,17.8,142,35
IMN,2006,3.46,1.23,,11.30,,,,,,150,154
IND,2006,10.27,6.86,6.30,20.87,21.13,,,10.81,,142,34
IOT,2006,1.24,,,,,,,,,0,0
IRL,2006,7.47,5.44,3.22,15.27,17.58,,,7.10,,150,154
IRN,2006,10.30,5.41,4.98,18.08,20.05,,,8.05,,142,34
IRQ,2006,8.86,4.18,3.23,17.14,18.41,,,5.68,22.4,142,145
ISL,2006,6.08,2.84,2.25,12.62,14.64,,,5.51,,150,154
ISR,2006,8.58,5.03,3.79,15.77,17.95,,,7.68,,142,145
ITA,2006,10.69,7.57,5.75,17.88,19.97,,,9.39,,150,39
JAM,2006,6.20,2.48,1.81,14.79,16.30,,,5.09,14.3,19,29
JEY,2006,3.68,,,,,,,,,150,154
JOR,2006,7.55,2.71,2.24,15.53,16.87,,,4.82,,142,145
JPN,2006,10.78,8.38,6.90,18.67,20.93,,,10.97,,142,30
KAZ,2006,8.66,4.39,4.12,16.54,19.08,,,10.52,18.2,142,143
KEN,2006,5.89,3.25,1.64,17.41,16.07,,,7.06,,2,14
KGZ,2006,5.93,1.04,1.96,15.47,15.46,,,5.48,39.9,142,143
KHM,2006,4.82,1.98,0.02,16.42,14.91,,,11.09,45,142,35
KIR,2006,,-2.26,-3.89,11.45,11.15,,,,21.8,9,57
KNA,2006,3.05,-0.45,-2.14,10.82,12.37,,,1.28,,19,29
KOR,2006,9.73,6.92,5.90,17.69,19.97,,,9.27,,142,30
KWT,2006,8.16,4.62,3.67,14.69,18.12,,,6.94,,142,145
LAO,2006,4.81,1.24,0.12,15.58,14.27,,,9.36,,142,35
LBN,2006,7.48,3.08,2.34,15.22,16.49,,,4.22,,142,145
LBR,2006,,-0.50,-1.73,15.03,13.54,,,5.32,,2,11
LBY,2006,8.75,4.03,3.04,15.59,17.81,,,5.73,,2,15
LCA,2006,3.91,0.06,-1.24,12.03,12.81,,,,,19,29
LIE,2006,3.86,1.38,,10.47,,,,,,150,155
LKA,2006,6.52,3.34,1.93,16.80,16.30,,,5.54,15.2,142,34
LSO,2006,4.13,0.36,-0.64,14.48,14.18,,,5.90,,2,18
LTU,2006,6.76,3.41,2.23,15.00,16.48,,,6.61,19.1,150,154
LUX,2006,6.08,3.73,1.86,13.07,16.24,,,4.73,,150,155
LVA,2006,6.20,2.99,1.86,14.61,15.84,,,6.97,21.2,150,154
MAC,2006,1.90,2.68,0.88,13.08,14.31,,,,,142,30
MAF,2006,3.77,,,10.25,,,,,,19,29
MAR,2006,7.96,4.18,2.99,17.24,17.67,,,4.59,,2,15
MCO,2006,2.54,1.54,,10.45,,,,,,150,155
MDA,2006,5.32,1.23,,15.09,15.42,,,3.62,30.2,150,151
MDG,2006,4.35,1.71,0.05,16.75,14.34,,,11.31,,2,14
MDV,2006,,0.26,-1.69,12.72,13.70,,,,,142,34
MEX,2006,10.19,6.87,5.28,18.53,19.91,,,10.79,,19,13
MHL,2006,,-1.94,,10.86,11.43,,,,,9,57
MKD,2006,5.89,1.88,1.91,14.53,16.21,,,4.94,,150,39
MLI,2006,5.30,1.81,-0.82,16.40,13.76,,,11.01,47.5,2,11
MLT,2006,5.61,1.85,0.61,12.91,14.76,,,4.85,,150,39
MMR,2006,5.55,,1.42,17.73,16.35,,,11.34,,142,35
MNE,2006,5.00,0.99,1.30,13.33,14.68,,,,11.3,150,39
MNG,2006,5.09,1.23,1.17,14.75,16.07,,,9.71,,142,30
MNP,2006,3.89,,,11.04,,,,,,9,57
MOZ,2006,5.94,1.96,2.25,16.89,14.50,,,12.57,,2,14
MRT,2006,4.60,0.99,-0.61,14.99,14.29,,,6.68,,2,11
MSR,2006,,,-3.98,,,,,,,19,29
MTQ,2006,5.97,,0.29,,,,,,,19,29
MUS,2006,5.33,1.91,0.70,14.03,15.10,,,2.87,,2,14
MWI,2006,5.63,1.14,0.37,16.39,13.77,,,8.91,,2,14
MYS,2006,9.00,5.09,4.32,17.08,18.96,,,9.72,,142,35
MYT,2006,1.58,,,,,,,,,2,14
NAM,2006,5.55,2.08,1.18,14.54,14.66,,,10.20,,2,18
NCL,2006,4.45,,0.50,12.37,14.84,,,1.10,,9,54
NER,2006,4.50,1.29,-0.52,16.45,13.60,,,7.24,,2,11
NFK,2006,,,,,,,,,,9,53
NGA,2006,8.83,4.98,2.70,18.78,18.41,,,11.59,,2,11
NIC,2006,5.66,1.91,0.83,15.51,15.31,,,7.29,,19,13
NIU,2006,,,-5.88,,,,,,,9,61
NLD,2006,9.03,6.58,4.70,16.61,18.93,,,8.29,,150,155
NOR,2006,8.38,5.83,4.70,15.35,17.61,,,8.52,,150,154
NPL,2006,4.64,2.20,0.77,17.07,14.79,,,5.90,,142,34
NRU,2006,,,-3.55,,,,,,,9,57
NZL,2006,7.44,4.70,3.67,15.25,17.33,,,7.24,,9,53
OMN,2006,8.23,3.62,2.35,14.75,17.49,,,5.35,,142,145
